id,address,postal,rent,man_id
62,5310 Ilene Road,,10507,3
63,05 Doe Crossing Court,,11177,2
64,2 Schmedeman Hill,,8795,10
65,9 Mariners Cove Parkway,56140,9061,1
66,4588 Jana Street,,9458,18
67,8796 Dottie Pass,,6054,1
68,30 Esch Park,,6557,20
69,877 Jay Center,,5125,5
70,88576 Westend Pass,,11913,20
71,37 Logan Trail,11102,6187,7
72,8202 Graedel Park,,4824,7
73,79 Fordem Terrace,,11058,13
74,90 Algoma Drive,,11553,17
75,98 Messerschmidt Center,,8027,14
76,0840 Rusk Drive,,10301,15
77,787 Wayridge Court,6719,7506,4
78,3678 Pankratz Point,3332,8424,19
79,3242 Kingsford Circle,,6238,12
80,0220 Lindbergh Plaza,,6276,13
81,081 Victoria Point,,8370,7
82,4196 Michigan Road,17029 CEDEX 1,10611,15
83,26 Clarendon Parkway,,5428,2
84,73 Northport Circle,366311,4765,18
85,09320 Anhalt Point,55580-000,8648,10
86,9 Beilfuss Parkway,27-420,11080,2
87,58576 Mesta Center,32868,11316,5
88,58 Sutherland Alley,,9024,4
89,908 Stuart Road,,6861,19
90,5158 Warbler Point,8109,10230,17
91,8 Harper Street,21251,11229,13
92,386 Gulseth Road,E91,5466,15
93,88355 Tony Avenue,X0G,5337,9
94,2686 Oak Valley Street,,11946,7
95,6 Lerdahl Center,,6530,20
96,650 High Crossing Lane,594 42,10170,2
97,20853 Evergreen Lane,,8267,3
98,1460 Mifflin Terrace,37995,5711,20
99,0103 Cherokee Drive,238530,9932,8
100,7337 Butterfield Circle,32-541,8696,17
101,5 Hudson Court,26000-000,7937,9
102,06679 Morning Trail,1230,7942,4
103,4448 Village Green Way,,5533,12
104,5 Center Court,63520-000,9780,8
105,02 Farmco Road,,6000,17
106,114 Fair Oaks Plaza,,6910,8
107,179 Golden Leaf Alley,,4524,11
108,623 Kingsford Lane,7665-823,5394,13
109,5 Moose Junction,,6187,19
110,50187 Springs Terrace,5450,7728,13
111,805 Esch Trail,47214,9830,17
112,53 Mandrake Court,,11920,10
113,13396 Donald Crossing,22179,4870,9
114,7265 Tennessee Drive,30404 CEDEX,7130,12
115,85 Pleasure Way,,12412,4
116,5 Forster Road,,8177,5
117,144 Homewood Junction,,12012,6
118,732 Coolidge Drive,,6099,4
119,29 Stang Way,4506,9426,13
120,214 Dahle Crossing,,11781,4
121,5589 Reinke Trail,461 70,9291,17
122,934 Delladonna Circle,,8781,12
123,051 Dayton Pass,,4874,16
124,2606 Truax Way,,5563,5
125,077 Grim Road,36120,10766,10
126,42 Anzinger Junction,,12218,9
127,719 Elmside Center,25071 CEDEX 9,9850,10
128,27 Marcy Plaza,47912 CEDEX 9,9714,7
129,6536 High Crossing Trail,53140,12459,10
130,83 Vidon Drive,574-0072,8838,12
131,4143 Delladonna Junction,2712,10927,3
132,468 Golf View Hill,3313,12020,3
133,79876 Tennessee Park,,5582,7
134,98 Scofield Drive,,10817,18
135,518 Rowland Court,,6637,14
136,2 Amoth Pass,,11229,8
137,2 Algoma Drive,,9364,5
138,907 Blaine Avenue,,10185,20
139,00722 Sunbrook Circle,,7609,20
140,78752 Arrowood Road,,10200,12
141,7475 Mitchell Pass,,9339,7
142,84583 Dayton Parkway,410501,9538,3
143,6483 Susan Park,,9154,11
144,05 Eliot Avenue,1706,5136,10
145,4006 Stuart Crossing,50504,6873,1
146,69470 Valley Edge Parkway,356003,11959,19
147,3 Mesta Alley,93704,11100,9
148,1898 Banding Street,,6581,7
149,343 Myrtle Point,601580,11980,12
150,13703 Northfield Junction,,11570,7
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
